id,source,published,title,use_level,format,source_file,normalized_file,source_url,sha256,scenario_focus,platform,validation
CISA-AA24-326A,CISA,2024-11-21,Enhancing Cyber Resilience: Insights from the CISA Red Team Assessment,A,PDF,CISA/2024-11-21_AA24-326A_CISA-Red-Team-Assessment.pdf,,https://www.cisa.gov/sites/default/files/2024-11/aa24-326a-enhancing-cyber-resilience-insights-from-cisa-red-team-assessment.pdf,e8c02a9f929c05fd203df75e8b8ec392f80dbc14865fddb20d87d953f849516e,red-team intrusion; persistence; credential access; detection gaps; response,Windows/AD,PDF; 36 pages; readable
CISA-AA23-158A,CISA/FBI,2023-06-07,#StopRansomware: CL0P Ransomware Gang Exploits MOVEit Vulnerability,B,PDF,CISA/2023-06-07_AA23-158A_CL0P-MOVEit.pdf,,https://www.cisa.gov/sites/default/files/2023-06/aa23-158a-stopransomware-cl0p-ransomware-gang-exploits-moveit-vulnerability_7.pdf,a7a56a40017d97ea4ee9753128f13ceeb1b7f3e6265cd98d495f8bd1c0e55191,public-facing exploitation; webshell; file access; exfiltration,Windows/Enterprise,PDF; 24 pages; readable
CISA-AA23-320A,CISA/FBI,2023-11-16,Scattered Spider,B,PDF,CISA/2023-11-16_AA23-320A_Scattered-Spider.pdf,,https://www.cisa.gov/sites/default/files/2023-11/aa23-320a_scattered_spider_0.pdf,896169adc12391372fe2b69d0f83321f21a5baa7753f8c155122ff37e3d946ae,social engineering; valid accounts; remote access tools; exfiltration,Windows/Cloud,PDF; 14 pages; readable
CISA-AA25-022A,CISA/FBI,2025-01-22,Threat Actors Chained Vulnerabilities in Ivanti Cloud Service Applications,A,PDF,CISA/2025-01-22_AA25-022A_Ivanti-CSA-Chained-Vulnerabilities.pdf,,https://www.cisa.gov/sites/default/files/2025-02/aa25-022a-threat-actors-chained-vulnerabilities-in-ivanti-cloud-service-applications_2.pdf,6665303716010e2f417f8df892922f43d054b32af9069f919760282b13e9c98a,vulnerability chaining; webshells; detection; lateral movement,Linux appliance/Enterprise,PDF; 37 pages; readable
CISA-AA23-136A,CISA/FBI/ACSC,2023-05-16,#StopRansomware: BianLian Ransomware Group,B,PDF,CISA/2023-05-16_AA23-136A_BianLian.pdf,,https://www.cisa.gov/sites/default/files/2023-05/aa23-136a_stopransomware_bianlian_ransomware_group_1.pdf,13310d72b9954f9086e8bc33a2430d165c90d2f581c104e487ca1171b076493c,valid RDP accounts; PowerShell; credential access; exfiltration; extortion,Windows/AD,PDF; 23 pages; readable
CISA-AA24-109A,CISA/FBI/EC3/NCSC-NL,2024-04-18,#StopRansomware: Akira Ransomware,B,PDF,CISA/2024-04-18_AA24-109A_Akira.pdf,,https://www.cisa.gov/sites/default/files/2024-04/aa24-109a-stopransomware-akira-ransomware_2.pdf,349135673f3843e1320d6d6d6ad4ec7a3e474defadcff0e10627577dd1fc0075,VPN access; account creation; Kerberoasting; LSASS; ransomware,Windows/Linux/ESXi,PDF; 14 pages; readable
CISA-AA24-131A,CISA/FBI/HHS/MS-ISAC,2024-05-10,#StopRansomware: Black Basta,B,PDF,CISA/2024-05-10_AA24-131A_Black-Basta.pdf,,https://www.cisa.gov/sites/default/files/2024-07/aa24-131a-joint-csa-stopransomware-black-basta_2.pdf,f7bebe03952a0cf85cc9070e40f481c078020b5bffbff87f03b23cbbe6226541,phishing; vulnerability exploitation; lateral movement; exfiltration; ransomware,Windows/AD,PDF; 17 pages; readable
CISA-AA23-289A,CISA/FBI/MS-ISAC,2023-10-16,Threat Actors Exploit Atlassian Confluence CVE-2023-22515 for Initial Access,B,PDF,CISA/2023-10-16_AA23-289A_Confluence-CVE-2023-22515.pdf,,https://www.cisa.gov/sites/default/files/2023-10/aa23-289a-threat-actors-exploit-atlassian-confluence-cve-2023-22515-for-initial-access.pdf,3111c13e11a3c836822a221e1160f2189ab6aee536fb6040650d0586d11d4c2e,public-facing exploitation; unauthorized account; incident hunting,Linux/Enterprise,PDF; 6 pages; readable
CISA-AA23-319A,CISA/FBI/MS-ISAC,2023-11-15,#StopRansomware: Rhysida Ransomware,B,PDF,CISA/2023-11-15_AA23-319A_Rhysida.pdf,,https://www.cisa.gov/sites/default/files/2023-11/aa23-319a-stopransomware-rhysida-ransomware.pdf,f1a9fa32dc9631d98a8da43abf8b4c560b86bc955fb36ede66b114e73cfeb1eb,credential access; process injection; registry modification; ransomware,Windows/AD,PDF; 16 pages; readable
CISA-AA25-050A,CISA/FBI/MS-ISAC,2025-02-19,#StopRansomware: Ghost (Cring) Ransomware,B,PDF,CISA/2025-02-19_AA25-050A_Ghost-Cring.pdf,,https://www.cisa.gov/sites/default/files/2025-02/aa25-050a-stopransomware-ghost-cring-ransomware.pdf,0f85ca1b8973462ef4b4262ae88076da3d9cff125cbfb541934be08e20229ea6,known-vulnerability exploitation; PowerShell; credential dumping; exfiltration,Windows/Enterprise,PDF; 13 pages; readable
CISA-AA25-071A,CISA/FBI/MS-ISAC,2025-03-12,#StopRansomware: Medusa Ransomware,B,PDF,CISA/2025-03-12_AA25-071A_Medusa.pdf,,https://www.cisa.gov/sites/default/files/2025-03/aa25-071a-stopransomware-medusa-ransomware.pdf,7f206e7af11c4a9b45c1e856547d754113022e3d6a48f17389debf7d6d728fa1,phishing; remote services; discovery; defense evasion; ransomware,Windows/AD,PDF; 15 pages; readable
CISA-AA23-165A,CISA/FBI/MS-ISAC et al.,2023-06-14,Understanding Ransomware Threat Actors: LockBit,B,PDF,CISA/2023-06-14_AA23-165A_LockBit.pdf,,https://www.cisa.gov/sites/default/files/2023-06/aa23-165a_understanding_TA_LockBit_0.pdf,ee5f1bd8d8ab0bedac1b11b69dc482ec7073f280d4f0c644334c015a463cf29c,ransomware affiliate TTPs; tools; exfiltration; impact,Windows/Enterprise,PDF; 30 pages; readable
CISA-AA24-242A,CISA/FBI/MS-ISAC/HHS,2024-08-29,#StopRansomware: RansomHub Ransomware,B,PDF,CISA/2024-08-29_AA24-242A_RansomHub.pdf,,https://www.cisa.gov/sites/default/files/2024-09/aa24-242a-stopransomware-ransomhub-ransomware_1.pdf,cdb6a5c6a39f0f527b10a79fb7fcfa6fab114e1dc8f48f4180cfaa5ba32d3644,password spraying; remote tools; lateral movement; exfiltration; ransomware,Windows/Linux/ESXi,PDF; 24 pages; readable
